# file produced from stan branch - Group-Studies---Exoplanets\Code\filtering_code_stan.ipynb
# on 22/01/2026 at 15:08
#
# WHAT HAS BEEN DONE/FILTERED
# kept only the columns needed for analysis and uncertainty calculations
# removed planets with no measured mass, zero/invalid mass uncertainties, or flagged as mass limits
# removed planets with no measured radius, zero/invalid radius uncertainties, or flagged as radius limits
# removed planets where the host star has missing radius, mass, temperature, metallicity, or j-mag
# removed planets flagged as controversial
# removed planets where stellar temperature, radius, semi-major axis, or j-mag uncertainties are missing or zero
#
#^note: doing the line above takes out 70 planets almost all from sm axis Unc
# which are all kepler planets so faint anyway so low TSM a lot of the 
# existing values for sm axis come from KOI catalogue rather than confirmed planet catalogue
#
# computed average uncertainties for mass, radius, stellar temp, stellar radius, semi-major axis, and j-mag
# computed planet surface gravity in cgs units
# computed absolute error on planet gravity from mass and radius uncertainties
# filtered planets to only those with radii between 1.5 and 4 earth radii (sub-neptunes)
# computed equilibrium temperature (teq) assuming full heat redistribution and a bond albedo of 0.3
# computed fractional uncertainties for teq based on stellar and orbital uncertainties
# computed transmission spectroscopy metric (tsm) for each planet
# computed fractional uncertainties for tsm based on planet, stellar, and teq uncertainties
#
# INDEXED COLUMNS
#
# COLUMN pl_name:             Planet Name
# COLUMN pl_orbper:           Orbital Period [days]
# COLUMN pl_orbsmax:          Orbit Semi-Major Axis [au]
# COLUMN pl_bmasse:           Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_rade:             Planet Radius [Earth Radius]
# COLUMN pl_radelim:          Planet Radius Limit Flag
# COLUMN pl_radeerr1:         Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:         Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_trandep:          Transit Depth [%]
# COLUMN pl_trandur:          Transit Duration [hours]
# COLUMN pl_bmasselim:        Planet Mass or Mass*sin(i) Limit Flag
# COLUMN pl_bmasseerr2:       Planet Mass or Mass*sin(i) Lower Unc. [Earth Mass]
# COLUMN pl_bmasseerr1:       Planet Mass or Mass*sin(i) Upper Unc. [Earth Mass]
# COLUMN pl_orbeccen:         Orbital Eccentricity
# COLUMN pl_orbincl:          Orbital Inclination [deg]
# COLUMN st_rad:              Stellar Radius [Solar Radius]
# COLUMN st_mass:             Stellar Mass [Solar Mass]
# COLUMN st_teff:             Stellar Effective Temperature [K]
# COLUMN pl_ratror:           Ratio of Planet Radius to Stellar Radius
# COLUMN st_met:              Stellar Metallicity [dex]
# COLUMN st_metlim:           Stellar Metallicity Limit Flag
# COLUMN sy_jmag:             J (2MASS) Magnitude
# COLUMN discoverymethod:     Discovery Method
# COLUMN pl_controv_flag:     Controversial Flag
# COLUMN st_tefferr1:         Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:         Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_raderr1:          Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:          Stellar Radius Lower Unc. [Solar Radius]
# COLUMN pl_orbsmaxerr1:      Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2:      Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN sy_jmagerr1:         J Magnitude Upper Unc.
# COLUMN sy_jmagerr2:         J Magnitude Lower Unc.
# COLUMN pl_bmasseerr_avg:    Planet Mass 1σ Average Error [Earth Mass]
# COLUMN pl_radeerr_avg:      Planet Radius 1σ Average Error [Earth Radius]
# COLUMN st_tefferr_avg:      Stellar Effective Temperature 1σ Average Error [K]
# COLUMN st_raderr_avg:       Stellar Radius 1σ Average Error [Solar Radius]
# COLUMN pl_orbsmaxerr_avg:   Orbit Semi-Major Axis 1σ Average Error [au]
# COLUMN sy_jmagerr_avg:      J Magnitude 1σ Average Error
# COLUMN g_planet_cgs:        Planet Surface Gravity [cm/s²]
# COLUMN g_planet_cgs_err:    Planet Surface Gravity 1σ Error [cm/s²]
# COLUMN pl_Teq:              Planet Equilibrium Temperature [K]
# COLUMN pl_Teq_err:          Planet Equilibrium Temperature 1σ Error [K]
# COLUMN pl_tsm:              Transmission Spectroscopy Metric (TSM)
# COLUMN pl_tsm_err:          TSM 1σ Error
#
pl_name,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,discoverymethod,pl_controv_flag,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err
K2-167 b,9.978541,0.0932,6.5,2.36509493,0.0,0.21297063,-0.14571675,0.0206,3.6,0.0,-1.5,1.6,0.48,86.8,1.499,1.084,6310.0,0.01436,-0.456,0.0,7.202,Transit,0.0,170.0,-170.0,0.077,-0.071,0.0028,-0.0029,0.021,-0.021,1.55,0.17934369,170.0,0.074,0.00285,0.021,1141.1073822313906,322.4800287588592,1116.1695861865944,44.2102989103141,46.2093477668545,16.00907243733032
K2-18 b,32.939623,0.1429,8.92,2.37,0.0,0.22,-0.22,0.3098,2.682,0.0,-1.6,1.7,0.2,89.5785,0.411,0.359,3457.0,0.05375,0.12,0.0,9.763,Transit,0.0,39.0,-39.0,0.038,-0.038,0.006,-0.0065,0.028,-0.028,1.65,0.22,39.0,0.038,0.00625,0.028,1559.4752080671583,408.701874391253,258.59024707677503,13.542313735145688,32.105484348174635,12.387506574357188
K2-180 b,8.865663,0.0756,11.41003981,2.46597575,0.0,0.10984801,-0.09639723,0.0987,2.8488,0.0,-2.16123317,2.38371305,0.075,89.15,0.719,0.735,5365.0,0.03141,-0.578,0.0,11.146,Transit,0.0,92.0,-92.0,0.025,-0.023,0.0012,-0.001,0.023,-0.023,2.27247311,0.10312262,92.0,0.024,0.0010999999999999998,0.023,1842.5524921040749,398.0147000716308,729.7619893092269,18.251910663518405,13.790285197625352,3.3947587823773584
K2-182 b,4.7369696,0.05174,20.97667486,2.71257333,0.0,0.11096891,-0.09079274,0.0988,2.56632,0.0,-5.08525451,5.40308292,0.071,88.91,0.789,0.823,5128.0,0.03143,0.022,0.0,10.408,Transit,0.0,79.0,-80.0,0.025,-0.023,0.00075,-0.0007,0.021,-0.021,5.244168715000001,0.10088082500000001,79.5,0.024,0.000725,0.021,2799.522641700217,730.2001343186384,883.2451695275157,20.155624895373453,14.096315952114908,3.9686393566909355
K2-199 b,3.2253993,0.0382,6.9,1.73,0.0,0.05,-0.04,0.0726,2.017,0.0,-1.8,1.8,0.02,88.8,0.682,0.711,4491.0,0.02346,-0.01,0.0,10.277,Transit,0.0,100.0,-100.0,0.014,-0.014,0.0004,-0.0004,0.023,-0.023,1.8,0.045,100.0,0.014,0.0004,0.023,2263.951907546204,602.225400412388,836.9731497369845,20.98397334334256,14.976231352518102,4.144079632967345
K2-199 c,7.3744897,0.0662,12.4,2.85,0.0,0.1,-0.09,0.1739,2.452,0.0,-2.3,2.3,0.03,87.7,0.682,0.711,4491.0,0.03846,-0.01,0.0,10.277,Transit,0.0,100.0,-100.0,0.014,-0.014,0.0007,-0.0007,0.023,-0.023,2.3,0.095,100.0,0.014,0.0007,0.023,1499.1402952931498,295.481696268572,635.7907610447963,15.946934324194213,28.752017751514053,6.222081177076131
K2-216 b,2.1748,0.028,8.0,1.75,0.0,0.17,-0.1,0.056,1.84,0.0,-1.6,1.6,0.0,86.9,0.72,0.7,4503.0,0.0221,0.0,0.0,10.394,Transit,0.0,69.0,-69.0,0.03,-0.03,0.003,-0.007,0.023,-0.023,1.6,0.135,69.0,0.03,0.005,0.023,2565.21754807502,647.9603527486186,1007.156928106985,93.62098990425082,13.678134056894223,4.521168138193949
K2-222 b,15.38857,0.1206,8.7,2.35,0.0,0.08,-0.07,0.04071051,4.3896,0.0,-1.7,1.7,0.16,89.12,1.115,0.989,5942.0,0.0201,-0.315,0.0,8.423,Transit,0.0,119.0,-119.0,0.029,-0.029,0.0029,-0.0029,0.023,-0.023,1.7,0.07500000000000001,119.0,0.029,0.0029,0.023,1547.0125632984111,318.0091198899795,796.9010375834883,21.30502916767981,24.906318460555767,5.618122866765741
K2-229 c,8.32727,0.0769,7.0,2.03,0.0,0.12,-0.06,0.05325,2.5,0.0,-4.0,4.0,0.0,87.94,0.79,0.87,5315.0,0.0236,-0.09,0.0,9.518,Transit,0.0,35.0,-31.0,0.01,-0.01,0.0003,-0.0003,0.022,-0.022,4.0,0.09,33.0,0.01,0.0003,0.022,1668.0777010743484,964.5946472746593,751.3834233335698,6.821146109523831,22.63435097456312,13.295574639204977
K2-233 d,24.3681,0.1516,10.3,2.363,0.0,0.062,-0.062,,3.791,0.0,-2.6,2.4,0.18,89.62,0.71,0.79,4796.0,0.03051,-0.082,0.0,8.968,Transit,0.0,66.0,-66.0,0.01,-0.01,0.003,-0.003,0.02,-0.02,2.5,0.062,66.0,0.01,0.003,0.02,1811.4239018504215,449.82415379581425,457.79043374951215,8.4023147794975,23.57623767489818,6.071659613486374
K2-25 b,3.48456408,0.0287,24.5,3.44,0.0,0.12,-0.12,1.155,0.7637,0.0,-5.2,5.7,0.428,87.16,0.2932,0.2634,3207.0,0.1075,0.15,0.0,11.303,Transit,0.0,58.0,-58.0,0.0093,-0.0093,0.0012,-0.0012,0.021,-0.021,5.45,0.12,58.0,0.0093,0.0012,0.021,2033.1036112637305,473.9837568881764,452.11400429492136,14.40863894763188,61.3817464075714,15.71767973947721
K2-263 b,50.818947,0.2573,14.9,2.41,0.0,0.12,-0.12,0.0582,3.4872,0.0,-2.1,2.1,0.15,89.24,0.85,0.88,5368.0,0.026,-0.08,0.0,10.216,Transit,0.0,44.0,-44.0,0.02,-0.02,0.003,-0.003,0.02,-0.02,2.1,0.12,44.0,0.02,0.003,0.02,2519.1991193462204,434.74366492394734,430.3383416574449,6.660947660782337,6.382746482424625,1.3497144045001284
K2-265 b,2.36902,0.03359,7.3418362,1.70824866,0.0,0.11208981,-0.08070466,0.0287,2.3088,0.0,-1.39844499,1.43022783,0.16,87.01,0.92,0.901,5420.0,0.01695,0.033,0.0,9.726,Transit,0.0,100.0,-100.0,0.034,-0.032,0.00062,-0.00053,0.026,-0.026,1.41433641,0.096397235,100.0,0.033,0.000575,0.026,2470.6591011391415,551.6158952569756,1251.111924196117,33.92622102858843,14.346290773615582,3.844034583673737
K2-266 b,0.658524,0.01306,11.26782377,3.3,0.0,1.8,-1.3,0.18,0.33336,0.0,-11.3711983,11.3711983,,75.32,0.703,0.686,4285.0,0.043,-0.12,0.0,9.611,Transit,0.0,49.0,-57.0,0.024,-0.022,0.0002,-0.00021,0.027,-0.027,11.3711983,1.55,53.0,0.023,0.000205,0.027,1016.0673093919454,1400.881505862939,1386.6436440731543,30.448813569499514,137.014319673393,237.6670608841704
K2-266 d,14.697,0.1035,8.9,2.93,0.0,0.14,-0.12,0.1465,3.408,0.0,-3.8,5.7,0.047,89.46,0.703,0.686,4285.0,0.03827,-0.12,0.0,9.611,Transit,0.0,49.0,-57.0,0.024,-0.022,0.0016,-0.0017,0.027,-0.027,4.75,0.13,53.0,0.023,0.00165,0.027,1018.0405536861199,550.7951052765343,492.5680960713295,10.837862025897541,43.129900171389025,23.91596927979396
K2-266 e,19.482,0.1249,14.3,2.73,0.0,0.14,-0.11,0.127,3.6648,0.0,-5.0,6.4,0.043,89.45,0.703,0.686,4285.0,0.03564,-0.12,0.0,9.611,Transit,0.0,49.0,-57.0,0.024,-0.022,0.0019,-0.002,0.027,-0.027,5.7,0.125,53.0,0.023,0.00195,0.027,1884.1742139974106,770.5997790202304,448.3892940298122,9.839281961819122,19.45660371095315,8.315718831234475
K2-277 b,6.326768,0.0664,7.4,2.18575124,0.0,0.20176165,-0.12329879,0.0418,1.9656,0.0,-3.3,3.3,0.52,86.83,0.973,0.974,5680.0,0.02045,0.078,0.0,9.081,Transit,0.0,120.0,-120.0,0.038,-0.035,0.0012,-0.0013,0.034,-0.034,3.3,0.16253022,120.0,0.036500000000000005,0.0012499999999999998,0.034,1521.039755558413,715.0259131981807,959.0222454982054,28.557959902508575,27.500717597600463,13.897847710529524
K2-285 b,3.471745,0.03817,9.68,2.59,0.0,0.06,-0.06,0.097,2.18,0.0,-1.37,1.21,0.0,86.846,0.787,0.83,4975.0,0.03013,0.0,0.0,10.477,Transit,0.0,95.0,-95.0,0.016,-0.016,0.00095,-0.00092,0.022,-0.022,1.29,0.06,95.0,0.016,0.0009350000000000001,0.022,1417.0531561225228,199.93046030275653,996.385356653742,24.76930184484953,29.20601820959535,4.614487729662805
K2-285 c,7.138048,0.0824,15.68,3.53,0.0,0.08,-0.08,0.21,2.52,0.0,-2.13,2.28,0.0,89.861,0.787,0.83,4975.0,0.0411476,0.0,0.0,10.477,Transit,0.0,95.0,-95.0,0.016,-0.016,0.0018,-0.0018,0.022,-0.022,2.205,0.08,95.0,0.016,0.0018,0.022,1235.6826820149674,182.57108912312222,678.148507759285,16.433953836501377,31.56191698374224,5.161223258274637
K2-291 b,2.225177,0.03261,6.49,1.589,0.0,0.095,-0.072,0.0284,1.719,0.0,-1.16,1.16,0.0,85.26,0.899,0.934,5520.0,0.01614,0.08,0.0,8.765,Transit,0.0,60.0,-60.0,0.035,-0.033,0.00044,-0.00044,0.032,-0.032,1.16,0.08349999999999999,60.0,0.034,0.00044,0.032,2524.103824879995,523.362059558448,1278.3550435517968,29.185874014561126,21.758534733909077,5.472557621567196
K2-292 b,16.9841,0.13,24.5,2.63,0.0,0.11,-0.1,,3.66,0.0,-4.4,4.4,0.04,88.4,1.09,1.0,5725.0,0.022,0.07,0.0,8.73,Transit,0.0,65.0,-65.0,0.03,-0.03,0.01,-0.01,0.023,-0.023,4.4,0.10500000000000001,65.0,0.03,0.01,0.023,3478.282886011144,683.6300782852593,731.1812210295171,31.000486088588225,10.333411853796862,2.3458970186846537
K2-3 b,10.0546535,0.0747,5.11,2.078,0.0,0.076,-0.067,0.1416,2.563,0.0,-0.64,0.65,0.107,89.4,0.546,0.549,3844.0,0.0349,-0.157,0.0,9.421,Transit,0.0,61.0,-63.0,0.018,-0.016,0.0013,-0.0012,0.027,-0.027,0.645,0.07150000000000001,62.0,0.017,0.0012499999999999998,0.027,1162.090969235618,167.0662253901965,458.38179871709923,10.967730307655827,44.41486574742609,7.844262389604191
K2-3 c,24.646729,0.1357,2.68,1.582,0.0,0.057,-0.051,0.0822,3.428,0.0,-0.85,0.85,0.048,89.84,0.546,0.549,3844.0,0.02658,-0.157,0.0,9.421,Transit,0.0,61.0,-63.0,0.018,-0.016,0.0023,-0.0022,0.027,-0.027,0.85,0.054,62.0,0.017,0.0022500000000000003,0.027,1051.5553765529944,341.1541879480769,340.0930379295686,8.128371944033121,27.72475038303217,9.429790836344598
K2-32 c,20.66093,0.13843,8.1,3.134,0.0,0.123,-0.102,0.1346,4.35,0.0,-2.4,2.4,0.049,89.4,0.86,0.83,5271.0,0.03342,-0.06,0.0,10.404,Transit,0.0,39.0,-35.0,0.02,-0.02,0.00115,-0.00108,0.024,-0.024,2.4,0.11249999999999999,37.0,0.02,0.001115,0.024,809.8365005139501,246.89491628219906,579.475524728098,8.209378246628223,31.641722840345306,10.099351361186331
K2-32 d,31.71701,0.18422,6.7,3.484,0.0,0.112,-0.129,0.1562,4.888,0.0,-2.5,2.5,0.05,89.4,0.86,0.83,5271.0,0.03704,-0.06,0.0,10.404,Transit,0.0,39.0,-35.0,0.02,-0.02,0.00152,-0.00144,0.024,-0.024,2.5,0.1205,37.0,0.02,0.00148,0.024,542.0368622618059,205.69865522978475,502.3215589512963,7.114865819785129,45.55693747758743,17.78947247174284
K2-36 c,5.340888,0.05528,7.9,3.2,0.0,0.3,-0.3,0.1545,1.153,0.0,-2.8,2.8,0.089,86.917,0.718,0.79,4916.0,0.0393,-0.047,0.0,10.034,Transit,0.0,37.0,-37.0,0.008,-0.006,0.00023,-0.00023,0.022,-0.022,2.8,0.3,37.0,0.007,0.00023,0.022,757.595606124756,303.77330213973255,781.4443296604012,7.193419725242949,79.22859765968006,35.897640394604835
K2-37 d,14.09229,0.1102,12.5,2.31,0.0,0.21,-0.07,0.0893,2.65,0.0,-6.1,6.2,,89.16344,0.809,0.84,5352.0,0.0271,-0.08,0.0,10.692,Transit,0.0,100.0,-100.0,0.032,-0.032,0.0016,-0.0016,0.022,-0.022,6.15,0.14,100.0,0.032,0.0016,0.022,2300.362958486696,1165.6199886557652,639.5986425288202,18.010861551610702,8.828907401120972,4.690766636634545
K2-38 b,4.01593,0.04994,7.3,1.54,0.0,0.14,-0.14,0.02607,2.74,0.0,-1.0,1.1,0.197,88.36,1.06,1.03,5731.0,0.0133,0.26,0.0,9.911,Transit,0.0,66.0,-66.0,0.09,-0.06,0.00048,-0.00049,0.024,-0.024,1.05,0.14,66.0,0.075,0.00048499999999999997,0.024,3022.676927451518,700.7562334384237,1164.573858377919,43.694992054288974,6.807147388954993,2.324655160524186
K2-38 c,10.56103,0.09514,8.3,2.29,0.0,0.26,-0.26,0.0484,2.38,0.0,-1.3,1.3,0.161,87.68,1.06,1.03,5731.0,0.02,0.26,0.0,9.911,Transit,0.0,66.0,-66.0,0.09,-0.06,0.00091,-0.00094,0.024,-0.024,1.3,0.26,66.0,0.075,0.000925,0.024,1554.2377040419694,428.7402694881246,843.7421253352328,31.657928870794592,14.262540866364189,5.742383897547402
K2-66 b,5.06963,0.05983,21.3,2.49,0.0,0.34,-0.24,0.0288,4.71,0.0,-3.6,3.6,0.0,86.6,1.67,1.11,5887.0,0.01353,-0.047,0.0,10.948,Transit,0.0,46.0,-46.0,0.12,-0.12,0.00072,-0.00072,0.023,-0.023,3.6,0.29000000000000004,46.0,0.12,0.00072,0.023,3373.5816193059104,970.8822691837158,1371.831386555802,51.110473403331156,2.9030651057171166,1.2067745940258923
K2-73 b,7.49556,0.07619,9.2,2.58,0.0,0.13,-0.06,0.058,3.5904,0.0,-3.7,3.8,,88.44303,1.058,1.02,5867.0,0.022901,0.04,0.0,10.695,Transit,0.0,100.0,-100.0,0.039,-0.039,0.00072,-0.00072,0.026,-0.026,3.75,0.095,100.0,0.039,0.00072,0.026,1357.2464924173296,562.1822461297002,964.3127307539523,24.63327841878141,14.712565203488378,6.320900977599614
KOI-142 b,10.91647,0.09586,9.5,3.438,0.0,0.075,-0.075,0.1479,3.6496,0.0,-1.1,1.1,0.05561,90.97,0.897,0.99,5466.0,0.03515,0.27,0.0,11.882,Transit,0.0,60.0,-60.0,0.016,-0.016,0.0008,-0.0008,0.02,-0.02,1.1,0.075,60.0,0.016,0.0008,0.02,789.2637800391825,97.66092654605211,737.4882436372785,10.875063635758908,21.094740970652186,2.927931723640787
KOI-2513.01,19.00547,0.5,7310.053361,2.80224517,0.0,22.4179614,-0.56044903,0.05424,1.843,0.0,-635.656814,635.656814,0.36,89.7,1.2,0.91,5900.0,0.022,-0.37,0.0,13.757,Transit,0.0,100.0,-100.0,0.4,-0.2,0.2,-0.4,0.025,-0.025,635.656814,11.489205215,100.0,0.30000000000000004,0.30000000000000004,0.025,914152.3944777133,7496471.116650885,403.14900988262326,131.20148282291237,0.001912101383566745,0.023547092371445713
KOI-94 b,3.743208,0.05119,10.5,1.71,0.0,0.16,-0.16,0.01263,3.6888,0.0,-4.6,4.6,0.25,89.3,1.52,1.277,6182.0,0.01031,0.0228,0.0,11.218,Transit,0.0,58.0,-58.0,0.14,-0.14,0.00067,-0.00067,0.022,-0.022,4.6,0.16,58.0,0.14,0.00067,0.022,3526.203651563189,1679.845669506268,1485.8199830511442,70.50517849357297,2.2021586128375144,1.2201802401119315
Kepler-10 c,45.294301,0.241,11.29,2.355,0.0,0.022,-0.022,0.04768,6.8714,0.0,-1.24,1.24,0.136,89.623,1.065,0.91,5708.0,0.020414,-0.15,0.0,9.889,Transit,0.0,28.0,-28.0,0.009,-0.009,0.0019,-0.0019,0.022,-0.022,1.24,0.022,28.0,0.009,0.0019,0.022,1999.0443602774365,222.71259152117648,529.2467649759458,4.011646981860326,7.158274265057325,0.8253521057347013
Kepler-102 e,16.1456994,0.1162,4.7,2.17,0.0,0.11,-0.11,0.09892,3.7236,0.0,-1.8,1.8,0.089,89.488,0.724,0.803,4909.0,0.03161,0.11,0.0,9.984,Transit,0.0,98.0,-98.0,0.018,-0.018,0.001,-0.001,0.023,-0.023,1.8,0.11,98.0,0.018,0.001,0.023,980.1413303161253,388.3031383991044,540.4645538573974,12.92126388868945,28.45391124711249,11.83338409943713
Kepler-103 b,15.9653287,0.133,11.67,3.4857,0.0,0.0567,-0.0536,0.04861,4.527,0.0,-4.73,4.31,0.171,87.914,1.492,1.212,6047.0,0.0214,0.15,0.0,11.193,Transit,0.0,50.0,-67.0,0.024,-0.022,0.0039,-0.0016,0.021,-0.021,4.52,0.055150000000000005,58.5,0.023,0.00275,0.021,943.1942744061296,366.5332055860055,893.3189046084325,14.401056981484444,10.76162888527769,4.217296682542786
Kepler-105 b,5.4122034,0.06016,10.8,2.53,0.0,0.07,-0.07,0.05981,2.9472,0.0,-2.3,2.3,0.02,85.94,1.026,0.991,5933.0,0.02292,-0.09,0.0,11.811,Transit,0.0,60.0,-60.0,0.025,-0.024,0.00067,-0.00067,0.021,-0.021,2.3,0.07,60.0,0.0245,0.00067,0.021,1656.8875158684973,364.57283704494245,1080.6923568827585,17.948366938900612,8.423948663961639,1.973670079362229
Kepler-106 c,13.5708,0.10987,10.44,2.5,0.0,0.32,-0.32,0.05117,3.1989,0.0,-3.2,3.2,0.0,87.07,1.04,1.0,5858.0,0.022113,-0.12,0.0,11.752,Transit,0.0,114.0,-114.0,0.17,-0.17,0.00128,-0.00128,0.02,-0.02,3.2,0.32,114.0,0.17,0.00128,0.02,1640.3283611165716,655.0775519327343,794.9401634359822,66.94776175984339,6.185258198898135,3.6876930726632713
Kepler-106 e,43.8445,0.24006,11.17,2.56,0.0,0.33,-0.33,0.06152,6.4175,0.0,-5.8,5.8,0.0,88.27,1.04,1.0,5858.0,0.022676,-0.12,0.0,11.752,Transit,0.0,114.0,-114.0,0.17,-0.17,0.00284,-0.00284,0.02,-0.02,5.8,0.33,114.0,0.17,0.00284,0.02,1673.7228877400169,970.3057571114837,537.7917072828393,45.294775819073855,4.199375309896565,3.06648441314359
Kepler-107 b,3.1800218,0.04544,3.8,1.536,0.0,0.025,-0.025,0.01219,3.633,0.0,-1.7,1.8,0.1,89.05,1.447,1.238,5854.0,0.00973,0.321,0.0,11.392,Transit,0.0,61.0,-61.0,0.014,-0.014,0.00036,-0.00036,0.022,-0.022,1.75,0.025,61.0,0.014,0.00036,0.022,1581.6539772734664,730.210648168822,1457.0544691715413,17.70636342601621,4.404527447295509,2.0427390614521093
Kepler-107 c,4.901452,0.06064,10.0,1.597,0.0,0.026,-0.026,0.01396,4.269,0.0,-2.0,2.0,0.08,89.49,1.447,1.238,5854.0,0.01012,0.321,0.0,11.392,Transit,0.0,61.0,-61.0,0.014,-0.014,0.00048,-0.00048,0.022,-0.022,2.0,0.026,61.0,0.014,0.00048,0.022,3850.3524047416263,780.2093083585924,1261.2911613599827,15.32598394319181,1.6284093362137555,0.33771430887027876
Kepler-107 e,14.749143,0.12638,14.1,2.903,0.0,0.035,-0.035,0.04205,6.117,0.0,-3.3,3.3,0.1,89.67,1.447,1.238,5854.0,0.01839,0.321,0.0,11.392,Transit,0.0,61.0,-61.0,0.014,-0.014,0.00099,-0.00099,0.022,-0.022,3.3,0.035,61.0,0.014,0.00099,0.022,1642.9916396577892,386.5654277731663,873.6867977896911,10.604572159074111,4.881470571059586,1.162451824646745
Kepler-11 b,10.3039,0.091,1.9,1.8,0.0,0.03,-0.05,0.03013,4.116,0.0,-1.0,1.4,0.045,89.64,1.065,0.961,5663.0,0.01563,0.05,0.0,12.548,Transit,0.0,55.0,-66.0,0.017,-0.022,0.001,-0.001,0.024,-0.024,1.2,0.04,60.5,0.0195,0.001,0.024,575.8626391921882,364.60213333083937,854.4932460381308,12.906441092918831,9.012470959223341,5.7356975886958255
Kepler-11 c,13.0241,0.107,2.9,2.87,0.0,0.05,-0.06,0.07508,4.544,0.0,-1.6,2.9,0.026,89.59,1.065,0.961,5663.0,0.02496,0.05,0.0,12.548,Transit,0.0,55.0,-66.0,0.017,-0.022,0.001,-0.001,0.024,-0.024,2.25,0.055,60.5,0.0195,0.001,0.024,345.7359314311402,268.57049983454147,788.020365887701,11.68247524885416,22.423112100048613,17.469175042945945
Kepler-11 d,22.6845,0.155,7.3,3.12,0.0,0.06,-0.07,0.0885,5.586,0.0,-1.5,0.8,0.004,89.67,1.065,0.961,5663.0,0.02714,0.05,0.0,12.548,Transit,0.0,55.0,-66.0,0.017,-0.022,0.001,-0.001,0.024,-0.024,1.15,0.065,60.5,0.0195,0.001,0.024,736.4173037006924,120.00021072223471,654.7318701859027,9.450692088742953,9.508568893714662,1.657733881477552
Kepler-11 f,46.6888,0.25,2.0,2.49,0.0,0.04,-0.07,0.0548,6.431,0.0,-0.9,0.8,0.013,89.47,1.065,0.961,5663.0,0.02169,0.05,0.0,12.548,Transit,0.0,55.0,-66.0,0.017,-0.022,0.002,-0.002,0.024,-0.024,0.8500000000000001,0.05500000000000001,60.5,0.0195,0.002,0.024,316.7682271648742,135.3518354867319,515.5363901210277,7.5407205852787405,13.674098418968368,5.908305057651561
Kepler-113 b,4.754,0.05123,11.7,1.82,0.0,0.05,-0.05,0.07487,2.5037,0.0,-4.2,4.2,0.0,86.54,0.69,0.75,4725.0,0.02419,0.05,0.0,11.886,Transit,0.0,74.0,-74.0,0.02,-0.02,0.00051,-0.00051,0.027,-0.027,4.2,0.05,74.0,0.02,0.00051,0.027,3468.593439404324,1259.637028705036,764.8427340995615,16.75851627527358,4.375954635882861,1.6352877764844116
Kepler-114 c,8.041,0.06482,2.8,1.6,0.0,0.18,-0.18,0.05904,2.6319,0.0,-0.6,0.6,0.0,89.36,0.54,0.56,4660.0,0.021784,0.2291,0.0,12.035,Transit,0.0,56.23,-48.94,0.06,-0.06,0.00235,-0.00235,0.029,-0.029,0.6,0.18,52.584999999999994,0.06,0.00235,0.029,1074.0595934933249,333.7256594068545,593.247952893981,35.30871319756513,14.689979522025112,6.778562680832068
Kepler-114 d,11.776,0.08358,3.9,2.53,0.0,0.28,-0.28,0.14291,2.9021,0.0,-1.7,1.7,0.0,88.87,0.54,0.56,4660.0,0.033,0.2291,0.0,12.035,Transit,0.0,56.23,-48.94,0.06,-0.06,0.00303,-0.00303,0.029,-0.029,1.7,0.28,52.584999999999994,0.06,0.00303,0.029,598.3204918414018,292.50449302623036,522.4437983010259,31.094494244319478,36.721427895910196,21.82823931960928
Kepler-128 c,22.8,0.16517,3.38,1.521,0.0,0.047,-0.047,0.00664,4.9916,0.0,-0.59,0.67,0.037,89.53,1.659,1.184,6072.0,0.00732,-0.03,0.0,10.373,Transit,0.0,75.0,-75.0,0.038,-0.038,0.00273,-0.00273,0.021,-0.021,0.63,0.047,75.0,0.038,0.00273,0.021,1434.7247317152,281.7356991739982,848.784297522524,15.925228815229286,3.4067953946285487,0.729716955689667
